// Compost colors for armorplus. You may add your own colors, change existing ones, or remove colors that aren't needed.
ardite_boots, #732a23
ardite_chestplate, #9a2520
ardite_helmet, #972c1f
ardite_leggings, #7c2620
chainmail, #ffffff
chicken_boots, #b1afaf
chicken_chestplate, #e8e6e6
chicken_helmet, #9d9796
chicken_leggings, #bfbcbc
coal_arrow, #b4b1ac
coal_battle_axe, #ffffff
coal_boots, #141414
coal_bow, #1f1f1f
coal_chestplate, #161616
coal_helmet, #161414
coal_leggings, #141414
coal_pickaxe, #392d18
coal_sword, #c07876
cobalt_boots, #a469e
cobalt_chestplate, #f57bc
cobalt_helmet, #1257b4
cobalt_leggings, #c4aa4
emerald_arrow, #b4beac
emerald_battle_axe, #ffffff
emerald_boots, #89722
emerald_bow, #e5714
emerald_chestplate, #5b932
emerald_helmet, #a8a20
emerald_leggings, #7a023
emerald_pickaxe, #2f5211
emerald_sword, #ffffff
en_chainmail, #ffffff
ender_dragon_arrow, #b6acb6
ender_dragon_battle_axe, #55325f
ender_dragon_battle_axe_base, #2a232f
ender_dragon_boots, #1c1b1b
ender_dragon_boots_base, #1c1b1b
ender_dragon_bow, #4a0862
ender_dragon_bow_base, #221528
ender_dragon_chestplate, #332036
ender_dragon_chestplate_base, #292828
ender_dragon_helmet, #260f28
ender_dragon_helmet_base, #191818
ender_dragon_leggings, #262025
ender_dragon_leggings_base, #252323
ender_dragon_pickaxe, #34074b
ender_dragon_pickaxe_base, #190f1e
ender_dragon_scale, #ffebff
ender_dragon_sword, #87578d
ender_dragon_sword_base, #413947
frost_boots, #75a2ff
frost_chestplate, #8ac6ff
frost_crystal, #ffffff
frost_helmet, #6996ff
frost_lava_boots, #9e79b4
frost_lava_chestplate, #c38a97
frost_lava_helmet, #8a6faa
frost_lava_leggings, #b6687c
frost_leggings, #78aaff
frost_shard, #6491c3
guardian_arrow, #aac8ea
guardian_battle_axe, #b5e1fa
guardian_battle_axe_base, #293444
guardian_boots, #3094ff
guardian_boots_base, #3c91f1
guardian_bow, #113d8e
guardian_bow_base, #1f283a
guardian_chestplate, #5cafff
guardian_chestplate_base, #78abe4
guardian_helmet, #3aa4ff
guardian_helmet_base, #5f9adc
guardian_leggings, #3097ff
guardian_leggings_base, #3d94f5
guardian_pickaxe, #e2665
guardian_pickaxe_base, #151b28
guardian_scale, #bce0ff
guardian_sword, #ffffff
guardian_sword_base, #33374d
infused_frost_crystal, #e4ffff
infused_frost_lava_crystal, #b69b9d
infused_lava_arrow, #d7b5aa
infused_lava_battle_axe, #9b2c25
infused_lava_boots, #3a221f
infused_lava_bow, #6c3e32
infused_lava_chestplate, #58301f
infused_lava_crystal, #ffdeae
infused_lava_helmet, #331e1b
infused_lava_leggings, #412822
infused_lava_pickaxe, #aa9380
infused_lava_sword, #ffbeff
knight_slime_boots, #8e47be
knight_slime_chestplate, #b44dfa
knight_slime_helmet, #b65fea
knight_slime_leggings, #9744d0
lapis_arrow, #b4b1c8
lapis_battle_axe, #ffffff
lapis_boots, #1847c3
lapis_bow, #2648b9
lapis_chestplate, #1f52d4
lapis_helmet, #1e48bf
lapis_leggings, #1848c6
lapis_pickaxe, #3e4a83
lapis_sword, #ffffff
lava_crystal, #e6872d
lava_shard, #aa6528
manyullyn_boots, #6e2daa
manyullyn_chestplate, #803dc5
manyullyn_helmet, #7a37b9
manyullyn_leggings, #7230b1
obsidian_arrow, #b6b2b4
obsidian_battle_axe, #ffffff
obsidian_boots, #141222
obsidian_bow, #2a2639
obsidian_chestplate, #151523
obsidian_helmet, #18141e
obsidian_leggings, #141220
obsidian_pickaxe, #3e3226
obsidian_stick, #2d2a34
obsidian_sword, #c27579
redstone_arrow, #ccafab
redstone_battle_axe, #f4a7a4
redstone_boots, #720a0a
redstone_bow, #6c0c0c
redstone_chestplate, #800505
redstone_helmet, #6e0b0b
redstone_leggings, #720707
redstone_pickaxe, #70220c
redstone_sword, #ffffff
slayer_battle_axe, #5b1975
slayer_battle_axe_base, #402f46
slayer_boots, #551978
slayer_boots_base, #2c1f33
slayer_bow, #4e1868
slayer_bow_base, #392a3e
slayer_chestplate, #571583
slayer_chestplate_base, #2c1e36
slayer_helmet, #501276
slayer_helmet_base, #281b30
slayer_leggings, #4a0e6f
slayer_leggings_base, #25162c
slayer_pickaxe, #300e48
slayer_pickaxe_base, #221928
slayer_sword, #ffffff
slayer_sword_base, #412d4b
slime_boots, #506f4b
slime_chestplate, #6ba164
slime_helmet, #506c47
slime_leggings, #577d51
soul_blaze, #ffcd3e
soul_elder_guardian, #c8bfaf
soul_ender_dragon, #5c4b78
soul_enderman, #2c222d
soul_guardian, #839a87
soul_slayer, #1e0f48
soul_wither_boss, #333434
soul_wither_skeleton, #333434
super_star_arrow, #b5b5b2
super_star_battle_axe, #79585e
super_star_battle_axe_base, #515152
super_star_boots, #616f70
super_star_boots_base, #6b6b72
super_star_bow, #4b4e48
super_star_bow_base, #343634
super_star_chestplate, #5b665a
super_star_chestplate_base, #616168
super_star_helmet, #505551
super_star_helmet_base, #525158
super_star_leggings, #5c6865
super_star_leggings_base, #64646b
super_star_pickaxe, #333337
super_star_pickaxe_base, #232325
super_star_sword, #ffd0ff
super_star_sword_base, #686668
thank_you, #a5a2a2
the_ultimate_material, #9e6bc0
wither_bone, #64626c
wooden_rod, #61481b
