// Compost colors for thermal_processing. You may add your own colors, change existing ones, or remove colors that aren't needed.
aluminum_coin, #c6bec8
brass_coin, #ffcf83
chiller_gear_cast, #ffc225
chiller_plate_cast, #ffcc28
cobalt_coin, #5780ff
constantan_rod, #e69140
diamond_coin, #4efcf0
emerald_coin, #2dfb68
enderium_rod, #1b6b89
iridium_coin, #ffffff
lapis_coin, #336be1
lumium_rod, #ffeb84
manyullyn_coin, #8491f5
osmium_coin, #8aa2cc
platinum_coin, #afebff
press_rod_die, #ebfbf1
rose_gold_rod, #de5f58
signalum_rod, #ff4716
tungsten_coin, #90caaa
uranium_coin, #98fa7f
zinc_coin, #a5ebd4
